comparison,config_a,config_b,ba_a,ba_b,delta_ba_pp,p_iid,n_01_iid,n_10_iid,n_discordant_iid,p_cluster,ratio_cluster,ratio_ci_low,ratio_ci_high,p_majority_vote,n_01_mv,n_10_mv,n_clips_mv,p_iid_adj,p_cluster_adj,p_mv_adj
Baseline vs Base+OPRO-LLM,Base+Hand,Base+OPRO-LLM,0.6400656044985942,0.8261480787253983,-18.608247422680414,0.0,869,4840,5709,9.999000099990002e-05,0.15221579961464354,0.12903196984020843,0.17725790513833992,1.8912845799790586e-78,6,293,970,0.0,0.0005999400059994001,9.456422899895293e-78
Baseline vs LoRA+Hand,Base+Hand,LoRA+Hand,0.6400656044985942,0.8639643861293347,-22.38987816307405,0.0,650,5428,6078,9.999000099990002e-05,0.10694307337940112,0.08867028695213508,0.1273184631345018,3.951570543469408e-83,6,309,970,0.0,0.0005999400059994001,2.3709423260816446e-82
LoRA+Hand vs LoRA+OPRO-Tmpl,LoRA+Hand,LoRA+OPRO-Tmpl,0.8639643861293347,0.9328959700093721,-6.893158388003739,1.3241047859847175e-231,379,1850,2229,9.999000099990002e-05,0.17003140421713772,0.14364597351747882,0.19980842743569624,3.8913883226854296e-10,5,49,970,3.972314357954153e-231,0.0005999400059994001,1.1674164968056289e-09
LoRA+OPRO-Tmpl vs LoRA+OPRO-LLM,LoRA+OPRO-Tmpl,LoRA+OPRO-LLM,0.9328959700093721,0.8403936269915651,9.250234301780702,1.3574135103154703e-250,2787,813,3600,9.999000099990002e-05,0.7741666666666667,0.7415790058457008,0.8033374886524041,1.311109746589136e-17,80,6,970,5.429654041261881e-250,0.0005999400059994001,5.244438986356544e-17
Qwen3+Hand vs Qwen3+OPRO-LLM,Qwen3+Hand,Qwen3+OPRO-LLM,0.9108247422680412,0.9137300843486411,-0.2905342080599893,0.013606393039171268,275,337,612,0.0929,0.4493464052287582,0.3900326960931505,0.508591805901173,1.0,6,6,970,0.013606393039171268,0.0929,1.0
LoRA+OPRO-Tmpl vs Qwen3+Hand,LoRA+OPRO-Tmpl,Qwen3+Hand,0.9328959700093721,0.9108247422680412,2.2071227741330857,1.5262850603401703e-32,1030,559,1589,9.999000099990002e-05,0.6482064191315292,0.5988895051649391,0.6974526510536359,1.0,12,13,970,3.0525701206803405e-32,0.0005999400059994001,1.0
